cvemodeloeducativo,cveplanestudio,cvemodulo,grado,cvetrayecto,cvetipomodulo,consecutivoorden,estado,creditos,descripcion,descorta,siglema
2023,EKIN23,OSAC20,5,INE,TT,13,A,10,Operación de sensores y actuadores,Operación de sensores y actuadores,OSAC
2023,EKIN23,COPR20,5,OSR,TT,14,A,10,Construcción y programación de robots,Construcción y programación de robots,COPR
2023,EKIN23,ISED20,5,ISI,TT,15,A,10,Instalación de sistemas electrónicos de detección y alarma,Instalación de sistemas electrónicos de detección y alarma,ISED
2023,EKIN23,OHES20,5,AEB,TT,16,A,10,Operación de herramienta y equipo de soldadura,Operación de herramienta y equipo de soldadura,OHES
2023,EKIN23,ATSC20,5,OPV,TT,17,A,10,Atención y servicio a clientes,Atención y servicio a clientes,ATSC
2023,EKIN23,CMMM20,5,APN,TT,18,A,10,Caracterización y manejo de macro y micro materiales,Caracterización y manejo de macro y micro materiales,CMMM
2023,EKIN23,OMEN20,5,OPOL,TT,19,A,10,Operación y mantenimiento de equipos industriales,Operación y mantenimiento de equipos industriales,OMEN
2023,EKIN23,CRCS20,5,CRF,TT,20,A,10,Construcción de un segmento de red de cobre secundaria,Construcción de un segmento de red de cobre secundaria,CRCS
"2023,EKIN23,MGCO20,5,KAIZ,TT,21,A,10,""Manejo de gestión de calidad, operación y seguridad"",""Manejo de gestión de calidad, operación y seguridad"",MGCO"
2023,EKIN23,CHPC20,6,XXX,CF,1,A,4.5,Conciencia histórica III: Problemas contemporáneos,Conciencia histórica III: Problemas contemporáneos,CHPC
2023,EKIN23,TSO320,6,XXX,FE,2,A,11.25,Temas selectos de Matemáticas III*,Temas selectos de Matemáticas III*,TSO3
2023,EKIN23,FSO620,6,XXX,CA,3,A,4.5,Formación socioemocional VI,Formación socioemocional VI,FSO6
2023,EKIN23,FEMP20,6,XXX,CL,4,A,4,Emprendimiento e innovación,Emprendimiento e innovación,FEMP
2023,EKIN23,ASEL20,6,XXX,CL,5,A,8,Actualización de sistemas electrónicos,Actualización de sistemas electrónicos,ASEL
2023,EKIN23,MASE20,6,XXX,CL,6,A,10,Mantenimiento correctivo de sistemas electrónicos,Mantenimiento correctivo de sistemas electrónicos,MASE
2023,EKIN23,ACAL20,6,XXX,CL,7,A,10,Administración de la calidad,Administración de la calidad,ACAL
2023,EKIN23,CUPS20,6,XXX,CL,8,A,10,Cuantificación y presupuestación de servicios,Cuantificación y presupuestación de servicios,CUPS
2023,EKIN23,COML20,6,OSE,TT,9,A,10,Control de motores eléctricos,Control de motores eléctricos,COML
2023,EKIN23,MESR20,6,REE,TT,10,A,10,Mantenimiento a equipos y sistemas de radiograbación,Mantenimiento a equipos y sistemas de radiograbación,MESR
2023,EKIN23,MCSA20,6,ACP,TT,11,A,10,Mantenimiento a controladores de sistemas automatizados,Mantenimiento a controladores de sistemas automatizados,MCSA
2023,EKIN23,ASEV20,6,OPS,TT,12,A,10,Aplicación de servomecanismos,Aplicación de servomecanismos,ASEV
2023,EKIN23,OECI20,6,INE,TT,13,A,10,Operación de elementos finales de control industrial,Operación de elementos finales de control industrial,OECI
2023,EKIN23,AROB20,6,OSR,TT,14,A,10,Aplicaciones de los robots,Aplicaciones de los robots,AROB
2023,EKIN23,ISCT20,6,ISI,TT,15,A,10,Instalación de sistemas de circuito cerrado de televisión,Instalación de sistemas de circuito cerrado de televisión,ISCT
