"cvemodeloeducativo,""cveplanestudio"",""descripcion"",""descorta"""
2025,PRIA25,Profesional Técnico-Bachiller en Procesamiento Industrial de Alimentos,PT-B en Procesamiento Industrial de Alimentos
2025,PROC25,Profesional Técnico-Bachiller en Producción de Calzado,PT-B en Producción de Calzado
2025,PTPA25,Profesional Técnico-Bachiller en Producción y Transformación de Productos Acuícolas,PT-B en Producción y Transformación de Productos Acuícolas
2025,PROI25,Profesional Técnico-Bachiller en Productividad Industrial,PT-B en Productividad Industrial
2025,QUIN25,Profesional Técnico-Bachiller en Química Industrial,PT-B en Química Industrial
2025,RECL25,Profesional Técnico-Bachiller en Refrigeración y Climatización,PT-B en Refrigeración y Climatización
2025,SALU25,Profesional Técnico-Bachiller en Salud Comunitaria,PT-B en Salud Comunitaria
2025,SHPC25,Profesional Técnico-Bachiller en Seguridad e Higiene y Protección Civil,PT-B en Seguridad e Higiene y Protección Civil
2025,SEKA25,Profesional Técnico-Bachiller en Sistemas Electrónicos de Aviación,PT-B en Sistemas Electrónicos de Aviación
2025,SOIN25,Profesional Técnico-Bachiller en Soldaduras Industriales,PT-B en Soldaduras Industriales
2025,SOMA25,Profesional Técnico-Bachiller en Soporte y Mantenimiento de Equipo de Cómputo,PT-B en Soporte y Mantenimiento de Equipo de Cómputo
2025,TELE25,Profesional Técnico-Bachiller en Telecomunicaciones,PT-B en Telecomunicaciones
2025,TERA25,Profesional Técnico-Bachiller en Terapia Respiratoria,PT-B en Terapia Respiratoria
2025,TRFR25,Profesional Técnico-Bachiller en Transporte Ferroviario,PT-B en Transporte Ferroviario
2025,TURI25,Profesional Técnico-Bachiller en Turismo,PT-B en Turismo
2025,MIME25,Profesional Técnico-Bachiller Minero Metalurgista,PT-B Minero Metalurgista
2025,TEXT25,Profesional Técnico-Bachiller Textil,PT-B Textil
