"cvemodeloeducativo,""cveplanestudio"",""descripcion"",""descorta"""
2008,ENFE08,Profesional Técnico-Bachiller en Enfermería General,PT-B  en Enfermería General
2008,ESCE12B,Profesional Técnico-Bachiller en Escenotecnia,PT-B en Escenotecnia
2008,EGAD08,Profesional Técnico-Bachiller en Expresión Gráfica Digital,PT-B  en Expresión Gráfica Digital
2008,FONO08B,Profesional Técnico-Bachiller en Fonoaudiología,PT-B en Fonoaudiología
2008,FAEN08,Profesional Técnico-Bachiller en Fuentes Alternas de Energía,PT-B  en Fuentes Alternas de Energía
2008,HOSP08,Profesional Técnico-Bachiller en Hospitalidad Turística,PT-B  en Hospitalidad Turística
2008,INAU16,Profesional Técnico-Bachiller en Industria Automotriz,PT-B en Industria Automotriz
2008,INVE08,Profesional Técnico-Bachiller en Industria del Vestido,PT-B  en Industria del Vestido
2008,INFO08,Profesional Técnico-Bachiller en Informática,PT-B  en Informática
2008,LACL08B,Profesional Técnico-Bachiller en Laboratorio Clínico,PT-B en Laboratorio Clínico
2008,LARE08,Profesional Técnico-Bachiller en Laministería y Recubrimiento de las Aeronaves,PT-B  en Laministería y Recubrimiento de las Aeronaves
2008,MAUT13B,Profesional Técnico-Bachiller en Mantenimiento Automotriz,PT-B en Mantenimiento Automotriz
2008,MECC08,Profesional Técnico-Bachiller en Mantenimiento de Equipo de Cómputo,PT-B  en Mantenimiento de Equipo de Cómputo
2008,MMOP08,Profesional Técnico-Bachiller en Mantenimiento de Motores y Planeadores,PT-B  en Mantenimiento de Motores y Planeadores
2008,MSIA08,Profesional Técnico-Bachiller en Mantenimiento de Sistemas Automáticos,PT-B  en Mantenimiento de Sistemas Automáticos
2008,EKIN08,Profesional Técnico-Bachiller en Mantenimiento de Sistemas Electrónicos,PT-B  en Mantenimiento de Sistemas Electrónicos
2008,MAHE08,Profesional Técnico-Bachiller en Máquinas Herramienta,PT-B  en Máquinas Herramienta
2008,MECA08,Profesional Técnico-Bachiller en Mecatrónica,PT-B  en Mecatrónica
2008,METM08,Profesional Técnico-Bachiller en Metalmecánica,PT-B  en Metalmecánica
2008,MTGA08,Profesional Técnico-Bachiller en Metalurgia,PT-B  en Metalurgia
2008,MODI08,Profesional Técnico-Bachiller en Motores a Diésel,PT-B en Motores a Diésel
2008,OPTO08,Profesional Técnico-Bachiller en Optometría,PT-B  en Optometría
2008,PLAS08,Profesional Técnico-Bachiller en Plásticos,PT-B  en Plásticos
2008,PRIA08,Profesional Técnico-Bachiller en Procesamiento Industrial de Alimentos,PT-B  en Procesamiento Industrial de Alimentos
2008,PROC08,Profesional Técnico-Bachiller en Producción de Calzado,PT-B  en Producción de Calzado
2008,PTPA08,Profesional Técnico-Bachiller en Producción y Transformación de Productos Acuícolas,PT-B  en Producción y Transformación de Productos Acuícolas
2008,PROI08,Profesional Técnico-Bachiller en Productividad Industrial,PT-B  en Productividad Industrial
2008,QUIN08,Profesional Técnico-Bachiller en Química Industrial,PT-B  en Química Industrial
2008,RRXX08B,Profesional Técnico-Bachiller en Radiología e Imagen,PT-B en Radiología e Imagen
2008,RDTT08B,Profesional Técnico-Bachiller en Radioterapia,PT-B en Radioterapia
2008,REDE08,Profesional Técnico-Bachiller en Redes de Distribución Eléctrica,PT-B  en Redes de Distribución Eléctrica
2008,REAA08,Profesional Técnico-Bachiller en Refrigeración y Aire Acondicionado,PT-B  en Refrigeración y Aire Acondicionado
2008,RECL13B,Profesional Técnico-Bachiller en Refrigeración y Climatización,PT-B en Refrigeración y Climatización
2008,SALU08,Profesional Técnico-Bachiller en Salud Comunitaria,PT-B  en Salud Comunitaria
2008,SHPC08,Profesional Técnico-Bachiller en Seguridad e Higiene y Protección Civil,PT-B  en Seguridad e Higiene y Protección Civil
2008,SEKA08,Profesional Técnico-Bachiller en Sistemas Electrónicos de Aviación,PT-B  en Sistemas Electrónicos de Aviación
2008,SOMA13B,Profesional Técnico-Bachiller en Soporte y Mantenimiento de Equipo de Cómputo,PT-B en Soporte y Mantenimiento de Equipo de Cómputo
2008,TELE08,Profesional Técnico-Bachiller en Telecomunicaciones,PT-B  en Telecomunicaciones
2008,TEFI08B,Profesional Técnico-Bachiller en Terapia Física,PT-B en Terapia Física
2008,TEOC08B,Profesional Técnico-Bachiller en Terapia Ocupacional,PT-B en Terapia Ocupacional
2008,TERA08,Profesional Técnico-Bachiller en Terapia Respiratoria,PT-B  en Terapia Respiratoria
2008,TEXT08,Profesional Técnico-Bachiller en Textil,PT-B  en Textil
2008,MIME08,Profesional Técnico-Bachiller Minero Metalurgista,PT-B  Minero Metalurgista
2008,TRAN08,Profesional Técnico-Bachiller Operador de Autotransporte,PT-B Operador de Autotransporte
2008,PROCEIES,Programa de Complementación de Estudios para Ingreso a la Educación Superior,PROCEIES
2018,ABIB18,Profesional Técnico-Bachiller Asistente bibliotecario,PT-B Asistente bibliotecario
2018,ASDI18,Profesional Técnico-Bachiller Asistente Directivo,PT-B  Asistente Directivo
2018,DENT18,Profesional Técnico-Bachiller Asistente y Protesista Dental,PT-B  Asistente y Protesista Dental
2018,ADMO18,Profesional Técnico-Bachiller en Administración,PT-B  en Administración
2018,AGRO21,Profesional Técnico-Bachiller en Agrotecnología,PT-B en Agrotecnología
2018,ALBE18,Profesional Técnico-Bachiller en Alimentos y Bebidas,PT-B  en Alimentos y Bebidas
2018,ALBE22,Profesional Técnico-Bachiller en Alimentos y Bebidas,PT-B  en Alimentos y Bebidas
2018,ARTE18,Profesional Técnico-Bachiller en Artes Gráficas,PT-B  en Artes Gráficas
2018,TRAN18,Profesional Técnico-Bachiller en Autotransporte,PT-B en Autotransporte
2018,ATRO18,Profesional Técnico-Bachiller en Autotrónica,PT-B  en Autotrónica
2018,CDIA20,Profesional Técnico-Bachiller en Ciencia de Datos e Inteligencia Artificial,PT-B en Ciencia de Datos e Inteligencia Artificial
2018,CCAM18,Profesional Técnico-Bachiller en Conservación del Medio Ambiente,PT-B  en Conservación del Medio Ambiente
2018,CONS18,Profesional Técnico-Bachiller en Construcción,PT-B  en Construcción
2018,CONA18,Profesional Técnico-Bachiller en Contabilidad,PT-B en Contabilidad
2018,COCA18,Profesional Técnico-Bachiller en Control de Calidad,PT-B  en Control de Calidad
2018,CURT18,Profesional Técnico-Bachiller en Curtiduría,PT-B  en Curtiduría
2018,ELIN18,Profesional Técnico-Bachiller en Electricidad Industrial,PT-B  en Electricidad Industrial
2018,EMEC18,Profesional Técnico-Bachiller en Electromecánica Industrial,PT-B  en Electromecánica Industrial
2018,ENCO18,Profesional Técnico-Bachiller en Enfermería Comunitaria,PT-B  en Enfermería Comunitaria
2018,ENFE18,Profesional Técnico-Bachiller en Enfermería General,PT-B  en Enfermería General
2018,ESCE18,Profesional Técnico-Bachiller en Escenotecnia,PT-B en Escenotecnia
2018,EXPE20,Profesional Técnico-Bachiller en Exploración y Producción Petrolera,PT-B en Exploración y Producción Petrolera
2018,EGAD18,Profesional Técnico-Bachiller en Expresión Gráfica Digital,PT-B  en Expresión Gráfica Digital
2018,FAEN18,Profesional Técnico-Bachiller en Fuentes Alternas de Energía,PT-B  en Fuentes Alternas de Energía
2018,HOSP18,Profesional Técnico-Bachiller en Hospitalidad Turística,PT-B  en Hospitalidad Turística
2018,INAU18,Profesional Técnico-Bachiller en Industria Automotriz,PT-B en Industria Automotriz
2018,INAU20,Profesional Técnico-Bachiller en Industria Automotriz,PT-B en Industria Automotriz
2018,INVE18,Profesional Técnico-Bachiller en Industria del Vestido,PT-B  en Industria del Vestido
2018,INFO18,Profesional Técnico-Bachiller en Informática,PT-B  en Informática
2018,LARE18,Profesional Técnico-Bachiller en Laministería y Recubrimiento de las Aeronaves,PT-B  en Laministería y Recubrimiento de las Aeronaves
2018,MAUT18,Profesional Técnico-Bachiller en Mantenimiento Automotriz,PT-B en Mantenimiento Automotriz
2018,MMOP18,Profesional Técnico-Bachiller en Mantenimiento de Motores y Planeadores,PT-B  en Mantenimiento de Motores y Planeadores
2018,MSIA18,Profesional Técnico-Bachiller en Mantenimiento de Sistemas Automáticos,PT-B  en Mantenimiento de Sistemas Automáticos
2018,EKIN18,Profesional Técnico-Bachiller en Mantenimiento de Sistemas Electrónicos,PT-B  en Mantenimiento de Sistemas Electrónicos
2018,MAHE18,Profesional Técnico-Bachiller en Máquinas Herramienta,PT-B  en Máquinas Herramienta
2018,MECA18,Profesional Técnico-Bachiller en Mecatrónica,PT-B  en Mecatrónica
2018,METM18,Profesional Técnico-Bachiller en Metalmecánica,PT-B  en Metalmecánica
2018,MTGA18,Profesional Técnico-Bachiller en Metalurgia,PT-B  en Metalurgia
2018,MODI18,Profesional Técnico-Bachiller en Motores a Diésel,PT-B en Motores a Diésel
2018,NUDI18,Profesional Técnico-Bachiller en Nutrición y Dietética,PT-B en Nutrición y Dietética
2018,OPTO18,Profesional Técnico-Bachiller en Optometría,PT-B  en Optometría
2018,DRON19,Profesional Técnico-Bachiller en Pilotaje de Drones,PT-B  en Pilotaje de Drones
2018,PLAS18,Profesional Técnico-Bachiller en Plásticos,PT-B  en Plásticos
2018,PRIA18,Profesional Técnico-Bachiller en Procesamiento Industrial de Alimentos,PT-B  en Procesamiento Industrial de Alimentos
2018,PROC18,Profesional Técnico-Bachiller en Producción de Calzado,PT-B  en Producción de Calzado
2018,PTPA18,Profesional Técnico-Bachiller en Producción y Transformación de Productos Acuícolas,PT-B  en Producción y Transformación de Productos Acuícolas
2018,PROI18,Profesional Técnico-Bachiller en Productividad Industrial,PT-B  en Productividad Industrial
2018,QUIN18,Profesional Técnico-Bachiller en Química Industrial,PT-B  en Química Industrial
2018,RECL18,Profesional Técnico-Bachiller en Refrigeración y Climatización,PT-B en Refrigeración y Climatización
2018,SALU18,Profesional Técnico-Bachiller en Salud Comunitaria,PT-B  en Salud Comunitaria
2018,SHPC18,Profesional Técnico-Bachiller en Seguridad e Higiene y Protección Civil,PT-B  en Seguridad e Higiene y Protección Civil
2018,SEKA18,Profesional Técnico-Bachiller en Sistemas Electrónicos de Aviación,PT-B  en Sistemas Electrónicos de Aviación
2018,SOIN20,Profesional Técnico-Bachiller en Soldaduras Industriales,PT-B en Soldaduras Industriales
2018,SOMA18,Profesional Técnico-Bachiller en Soporte y Mantenimiento de Equipo de Cómputo,PT-B en Soporte y Mantenimiento de Equipo de Cómputo
2018,TELE18,Profesional Técnico-Bachiller en Telecomunicaciones,PT-B  en Telecomunicaciones
2018,TERA18,Profesional Técnico-Bachiller en Terapia Respiratoria,PT-B  en Terapia Respiratoria
2018,TEXT18,Profesional Técnico-Bachiller en Textil,PT-B  en Textil
2018,TRFR21,Profesional Técnico-Bachiller en Transporte Ferroviario,PT-B en Transporte Ferroviario
2018,TURI22,Profesional Técnico-Bachiller en Turismo,PT-B en Turismo
2018,MIME18,Profesional Técnico-Bachiller Minero Metalurgista,PT-B  Minero Metalurgista
2018,PROCEIES,Programa de Complementación de Estudios para Ingreso a la Educación Superior,PROCEIES
2023,ABIB23,Profesional Técnico-Bachiller Asistente Bibliotecario,PT-B Asistente Bibliotecario
2023,ASDI23,Profesional Técnico-Bachiller Asistente Directivo,PT-B Asistente Directivo
2023,DENT23,Profesional Técnico-Bachiller Asistente y Protesista Dental,PT-B Asistente y Protesista Dental
2023,ADMO23,Profesional Técnico-Bachiller en Administración,PT-B en Administración
2023,AGRO23,Profesional Técnico-Bachiller en Agrotecnología,PT-B en Agrotecnología
2023,ALBE23,Profesional Técnico-Bachiller en Alimentos y Bebidas,PT-B en Alimentos y Bebidas
2023,ARTE23,Profesional Técnico-Bachiller en Artes Gráficas,PT-B en Artes Gráficas
2023,TRAN23,Profesional Técnico-Bachiller en Autotransporte,PT-B en Autotransporte
2023,ATRO23,Profesional Técnico-Bachiller en Autotrónica,PT-B en Autotrónica
2023,CDIA23,Profesional Técnico-Bachiller en Ciencia de Datos e Inteligencia Artificial,PT-B en Ciencia de Datos e Inteligencia Artificial
2023,CCAM23,Profesional Técnico-Bachiller en Conservación del Medio Ambiente,PT-B en Conservación del Medio Ambiente
2023,CONS23,Profesional Técnico-Bachiller en Construcción,PT-B en Construcción
2023,CONA23,Profesional Técnico-Bachiller en Contabilidad,PT-B en Contabilidad
2023,COCA23,Profesional Técnico-Bachiller en Control de Calidad,PT-B en Control de Calidad
2023,CURT23,Profesional Técnico-Bachiller en Curtiduría,PT-B en Curtiduría
2023,ELIN23,Profesional Técnico-Bachiller en Electricidad Industrial,PT-B en Electricidad Industrial
2023,EMEC23,Profesional Técnico-Bachiller en Electromecánica Industrial,PT-B en Electromecánica Industrial
2023,ENCO23,Profesional Técnico-Bachiller en Enfermería Comunitaria,PT-B en Enfermería Comunitaria
2023,ENFE23,Profesional Técnico-Bachiller en Enfermería General,PT-B en Enfermería General
2023,ESCE23,Profesional Técnico-Bachiller en Escenotecnia,PT-B en Escenotecnia
2023,EXPE23,Profesional Técnico-Bachiller en Exploración y Producción Petrolera,PT-B en Exploración y Producción Petrolera
2023,EGAD23,Profesional Técnico-Bachiller en Expresión Gráfica Digital,PT-B en Expresión Gráfica Digital
2023,FONO23,Profesional Técnico-Bachiller en Fonoaudiología,PT-B en Fonoaudiología
2023,FAEN23,Profesional Técnico-Bachiller en Fuentes Alternas de Energía,PT-B en Fuentes Alternas de Energía
2023,INAU23,Profesional Técnico-Bachiller en Industria Automotriz,PT-B en Industria Automotriz
2023,INVE23,Profesional Técnico-Bachiller en Industria del Vestido,PT-B en Industria del Vestido
2023,INFO23,Profesional Técnico-Bachiller en Informática,PT-B en Informática
2023,LACL23,Profesional Técnico-Bachiller en Laboratorio Clínico,PT-B en Laboratorio Clínico
2023,LARE23,Profesional Técnico-Bachiller en Laministería y Recubrimiento de las Aeronaves,PT-B en Laministería y Recubrimiento de las Aeronaves
2023,MAUT23,Profesional Técnico-Bachiller en Mantenimiento Automotriz,PT-B en Mantenimiento Automotriz
2023,MMOP23,Profesional Técnico-Bachiller en Mantenimiento de Motores y Planeadores,PT-B en Mantenimiento de Motores y Planeadores
2023,MSIA23,Profesional Técnico-Bachiller en Mantenimiento de Sistemas Automáticos,PT-B en Mantenimiento de Sistemas Automáticos
2023,EKIN23,Profesional Técnico-Bachiller en Mantenimiento de Sistemas Electrónicos,PT-B en Mantenimiento de Sistemas Electrónicos
2023,MAHE23,Profesional Técnico-Bachiller en Máquinas Herramienta,PT-B en Máquinas Herramienta
2023,MECA23,Profesional Técnico-Bachiller en Mecatrónica,PT-B en Mecatrónica
2023,METM23,Profesional Técnico-Bachiller en Metalmecánica,PT-B en Metalmecánica
2023,MTGA23,Profesional Técnico-Bachiller en Metalurgia,PT-B en Metalurgia
2023,MODI23,Profesional Técnico-Bachiller en Motores a Diésel,PT-B en Motores a Diésel
2023,NUDI23,Profesional Técnico-Bachiller en Nutrición y Dietética,PT-B en Nutrición y Dietética
2023,OMMP23,Profesional Técnico-Bachiller en Operación y Mantenimiento de Maquinaria Pesada,PT-B en Operación y Mantenimiento de Maquinaria Pesada
2023,OPTO23,Profesional Técnico-Bachiller en Optometría,PT-B en Optometría
2023,DRON23,Profesional Técnico-Bachiller en Pilotaje de Drones,PT-B en Pilotaje de Drones
2023,PLAS23,Profesional Técnico-Bachiller en Plásticos,PT-B en Plásticos
2023,PRIA23,Profesional Técnico-Bachiller en Procesamiento Industrial de Alimentos,PT-B en Procesamiento Industrial de Alimentos
2023,PROC23,Profesional Técnico-Bachiller en Producción de Calzado,PT-B en Producción de Calzado
2023,PTPA23,Profesional Técnico-Bachiller en Producción y Transformación de Productos Acuícolas,PT-B en Producción y Transformación de Productos Acuícolas
2023,PROI23,Profesional Técnico-Bachiller en Productividad Industrial,PT-B en Productividad Industrial
2023,QUIN23,Profesional Técnico-Bachiller en Química Industrial,PT-B en Química Industrial
